#Table1
redshift,h_beta_flux,ra,dec,plate,mjd,fiberID
0.2622485,268.1367,216.5596,27.498891,2134,53876,268
0.2184688,165.1788,219.25626,26.671993,2137,54206,99
0.2252883,205.0993,213.3137,29.110495,2126,53794,496
0.292812,281.8895,214.99816,28.784195,2130,53881,427
0.2296589,106.3263,224.33865,26.188672,2145,54212,76
0.1631027,779.7177,209.92974,-0.57345347,301,51942,142
0.2206272,2303.882,217.42947,47.790612,1673,53462,108
0.2454427,188.0252,217.89715,48.222879,1673,53462,598
0.2393598,370.0913,189.93734,19.90709,2614,54481,350
0.1602625,778.7159,190.59734,19.78914,2614,54481,279
0.2331841,230.7752,192.56757,4.9625196,847,52426,558
0.226549,274.9844,191.46262,3.3579021,522,52024,408
0.2815173,25.76958,191.35987,7.7321018,1790,53876,472
0.1967719,598.4462,201.68177,1.8692851,527,52342,229
0.2111076,81.3897,218.45087,1.4937905,536,52024,308
0.295637,468.7184,220.99897,1.4989448,536,52024,30
0.2745452,239.9653,205.13344,5.3662562,854,52373,335
0.1058275,4298.79,216.95121,5.0394564,585,52027,368
0.1940964,225.8264,219.0065,4.8021696,586,52023,416
0.2803703,358.8935,223.63938,61.283968,611,52055,341
0.2826588,233.7183,225.6969,60.40251,611,52055,201
0.2301357,166.9964,221.95334,62.745766,609,52339,435
0.2657985,46.20585,192.13969,56.585413,1317,52765,98
0.2667643,173.2774,209.50678,11.892182,1702,53144,597
0.2384939,155.1494,222.64602,32.685907,1647,53531,225
0.2334552,155.7205,190.65991,4.9379185,846,52407,119
0.2042243,151.8444,229.00168,57.404361,612,52079,519
0.07809116,5256.383,229.8403,59.13992,613,52345,99
0.2512348,135.408,198.90742,60.75174,784,52327,253
0.1615461,385.3743,202.56715,52.850517,1042,52725,305
0.2227076,610.4956,204.15271,42.159497,1344,52792,91
0.1676342,174.0111,210.03039,40.899355,1378,53061,574
0.2068584,1116.408,210.25677,40.908822,1346,52822,86
0.2767682,74.55131,216.14581,21.702227,2787,54552,171
0.2840404,506.8268,217.14193,21.503972,2788,54553,395
0.2706638,82.67503,207.53565,23.529471,2783,54524,397
0.2645762,292.094,203.63479,17.196395,2606,54154,581
0.2086255,695.1603,204.6112,17.076703,2607,54184,477
0.2679554,125.377,221.20761,14.850831,2748,54234,628
0.1624963,622.2419,217.74181,15.765454,2761,54534,250
0.1605687,281.1324,194.78482,56.258539,1318,52781,201
0.2985226,473.7039,196.09103,56.138082,1318,52781,42
0.256806,144.2618,193.46283,6.6476265,1792,54270,124
0.1993042,205.9592,199.2771,6.489917,1797,54507,139
0.2278282,236.1087,228.55242,-0.053255431,311,51665,26
0.1347965,892.6796,216.10092,59.883499,789,52342,507
0.2690201,621.0911,204.8708,52.456516,1042,52725,132
0.2034624,711.2766,217.66379,49.594165,1046,52460,170
0.1660594,237.4101,218.79294,49.805383,1047,52733,355
0.2461701,1461.512,220.76082,40.75698,1397,53119,316
0.2319155,281.9127,204.75567,45.381746,1465,53082,240
0.2764856,313.8999,207.18936,45.302664,1465,53082,30
0.2737464,469.2579,219.58602,41.946365,1396,53112,175
0.2688065,149.0531,221.57538,41.334168,1397,53119,399
0.2880693,110.4995,222.3658,45.756116,1675,53466,62
0.1946741,645.0529,197.31001,34.752925,2016,53799,86
0.2158535,539.6846,199.63399,34.893811,2023,53851,192
0.2207066,206.4684,203.77717,34.209533,1993,53762,142
0.2736361,228.6028,191.81382,67.824763,495,51988,333
0.1277341,2236.087,206.08696,66.621559,497,51989,466
0.2204827,475.9464,197.35676,12.72747,1696,53116,549
0.2733904,156.1231,204.96996,12.304644,1700,53502,546
0.1716289,689.6315,196.57738,8.8781835,1796,53884,283
0.2424477,157.8835,205.86365,8.3761477,1804,53886,238
0.2876647,2066.256,225.51709,6.7544588,1831,54557,501
0.2568817,231.5889,196.87508,9.3681053,1796,53884,199
0.2299342,494.93,216.34326,8.0575316,1811,53533,15
0.1622115,1256.502,223.20543,7.4102721,1814,54555,125
0.2282974,588.8925,230.37639,27.73892,1846,54173,125
0.2950774,199.7093,200.74125,36.383351,2023,53851,612
0.2843701,118.1586,231.08041,27.955782,1846,54173,28
0.2769306,281.2191,213.35474,34.257184,1839,53471,511
0.1739949,100.2148,202.96628,5.0626695,852,52375,625
0.2775687,128.327,202.38033,7.4858845,1801,54156,358
0.1922287,82.83208,204.31633,3.1601795,528,52022,522
0.1779683,102.1598,206.21919,-1.2478612,913,52433,407
0.2540441,513.0931,217.82273,49.44171,1046,52460,125
0.2485362,14.08756,218.57701,49.21015,1046,52460,54
