#Table1
plate,mjd,fiberID,sigma_balmer,sigma_forbidden
2617,54502,143,500,280.0105
2757,54509,152,500,500
2763,54507,244,500,179.5493
789,52342,507,500,248.3197
1318,52781,242,500,268.8937
1843,53816,565,500,500
1993,53762,142,500,500
2016,53799,86,500,205.8613
2023,53851,192,500,500
2239,53726,239,500,500
2791,54556,520,500,436.8527
522,52024,408,500,188.6226
847,52426,558,500,297.7475
1790,53876,472,163.048,220.2695
2617,54502,143,500,280.0105
2757,54509,152,500,500
2763,54507,244,500,179.5493
337,51997,30,500,307.7339
1350,52786,247,500,175.7125
1351,52790,88,500,409.9297
1816,53919,420,500,500
1709,53533,230,500,459.2845
2662,54505,172,500,500
2664,54524,39,500,301.9612
2784,54529,10,416.3763,500
2784,54529,535,451.7712,194.4679
2784,54529,481,500,147.6235
2785,54537,499,500,500
337,51997,30,500,307.7339
1350,52786,247,500,175.7125
1351,52790,88,500,409.9297
1816,53919,420,500,500
1709,53533,230,500,459.2845
2662,54505,172,500,500
2664,54524,39,500,301.9612
2784,54529,10,416.3763,500
2784,54529,535,451.7712,194.4679
2784,54529,481,500,147.6235
2785,54537,499,500,500
785,52339,46,500,500
786,52319,150,500,295.3366
790,52441,145,500,417.9462
1793,53883,280,500,427.3822
1375,53084,87,500,138.1238
1376,53089,94,225.8401,201.1695
1807,54175,282,500,200.0535
1987,53765,164,360.2844,144.7423
2110,53467,440,500,206.7065
2116,53854,621,500,149.4975
785,52339,46,500,500
786,52319,150,500,295.3366
790,52441,145,500,417.9462
1793,53883,280,500,427.3822
1375,53084,87,500,138.1238
1376,53089,94,225.8401,201.1695
1807,54175,282,500,200.0535
1987,53765,164,360.2844,144.7423
2110,53467,440,500,206.7065
2116,53854,621,500,149.4975
1839,53471,511,500,359.7021
1846,54173,28,500,152.5751
1846,54173,125,500,256.7454
2023,53851,612,479.127,435.9966
528,52022,522,119.8136,127.7039
852,52375,625,157.2171,117.6543
913,52433,407,166.9135,195.235
1801,54156,358,332.3356,220.1548
2243,53794,585,500,145.7341
2606,54154,581,500,166.7574
2607,54184,477,500,500
2748,54234,628,500,222.419
2761,54534,250,500,500
1839,53471,511,500,359.7021
1846,54173,28,500,152.5751
1846,54173,125,500,256.7454
2023,53851,612,479.127,435.9966
528,52022,522,119.8136,127.7039
852,52375,625,157.2171,117.6543
913,52433,407,166.9135,195.235
1801,54156,358,332.3356,220.1548
2243,53794,585,500,145.7341
2606,54154,581,500,166.7574
2607,54184,477,500,500
2748,54234,628,500,222.419
2761,54534,250,500,500
339,51692,457,80.67281,81.74363
338,51694,579,500,500
585,52027,607,395.9776,178.8872
1344,52792,487,500,271.2197
1345,52814,498,500,500
1372,53062,486,500,433.611
1373,53063,434,222.1925,210.4544
847,52426,602,500,444.5749
2146,54230,204,500,500
339,51692,457,80.67281,81.74363
338,51694,579,500,500
585,52027,607,395.9776,178.8872
1344,52792,487,500,271.2197
1345,52814,498,500,500
1372,53062,486,500,433.611
1373,53063,434,222.1925,210.4544
847,52426,602,500,444.5749
2146,54230,204,500,500
1042,52725,132,500,372.0511
1046,52460,170,500,237.4521
1047,52733,355,500,305.2516
1289,52734,449,500,144.7079
1711,53535,436,500,500
2002,53471,538,500,241.7838
2110,53467,43,500,207.897
2237,53828,448,500,290.4731
2607,54184,178,288.8769,245.6192
