#Table1
specobjid,plate,mjd,fiberID,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,w1,w2,w3
517997277432801280,460,51924,303,STARFORMING,0.01751257,87.41045,6.749302,2550.594,21.33002,450.6973,7.780976,965.9288,12.25365,11.034,10.859,6.59
1969295750412134400,1749,53357,352,BROADLINE,0.05418869,39.61546,3.903299,51.15091,3.172815,23.39247,2.625319,86.50161,4.021763,13.359,13.267,11.564
2795621353066096640,2483,53852,43,AGN,0.09200521,1579.43,18.39284,1155.597,13.02389,350.8303,9.231826,571.5577,9.364457,13.09,12.866,9.401
506790230020352000,450,51908,492,BROADLINE,0.0479116,35.14323,2.762199,84.53151,3.410069,22.96129,2.313799,112.0971,3.678708,12.246,12.243,9.899
646392480119416832,574,52355,458,STARBURST,0.03203029,603.2176,9.77308,4758.372,37.98169,1152.151,11.23137,1714.037,14.98945,11.803,11.567,7.208
549594217790334976,488,51914,564,STARFORMING,0.04027274,218.7324,4.369924,1826.617,12.13894,505.8112,5.494184,816.3755,6.414403,12.409,12.318,8.516
1938968204365817856,1722,53852,613,STARBURST,0.0444487,331.7876,5.248261,2903.828,17.24211,685.0901,6.675408,1454.479,9.127866,12.167,11.95,7.5
551792141785917440,490,51929,368,BROADLINE,0.0333323,51.52697,3.938634,110.031,4.439843,29.01519,3.084471,130.1001,5.001852,12.408,12.419,10.882
614897516781004800,546,52205,568,BROADLINE,0.02419825,102.4244,7.533648,96.0279,8.490808,31.05786,6.030246,95.61901,8.456496,11.803,11.875,11.352
2967917302898518016,2636,54082,164,STARFORMING,0.05515267,49.65236,1.939504,286.8227,2.790877,74.59181,1.758944,178.2657,2.488067,12.933,12.885,10.111
609240250450995200,541,51959,467,STARFORMING,0.0160868,241.8594,2.748705,790.5424,4.626496,242.2523,2.533002,203.454,2.026813,13.553,13.457,10.452
3118903071439087616,2770,54510,583,STARBURST,0.02774887,10957.91,64.68716,8754.15,54.92374,2728.549,19.74413,574.0336,5.417384,14.028,13.689,9.639
3128947660417951744,2779,54540,261,STARBURST,0.03192433,13156.49,97.18898,16343.5,113.2359,4300.242,39.55522,2859.94,26.10088,12.131,11.706,7.542
2844133467598383104,2526,54582,401,STARFORMING,0.01676809,349.6696,6.117557,1090.838,10.17827,301.9255,5.171391,310.3551,5.8255,12.327,12.358,10.345
1473938539203815424,1309,52762,493,STARFORMING,0.03610696,1149.665,12.16531,2975.852,20.57151,710.8599,8.839412,2133.057,15.20225,12.154,11.987,8.307
2738292270393485312,2432,54052,377,STARBURST,0.02053294,132.2305,3.446681,3126.749,17.62225,647.1654,5.912889,1385.129,8.364407,12.511,12.358,8.163
709400813465790464,630,52050,305,AGN,0.03017642,286.3273,8.452332,646.5287,12.15496,154.8157,6.857745,610.662,12.03203,11.014,10.861,7.989
577752436958062592,513,51989,603,STARFORMING,0.01861182,107.5646,4.944746,3212.755,21.99816,702.7158,8.010198,1216.78,10.39292,11.642,11.592,7.988
1127181707317897216,1001,52670,567,STARBURST,0.02180672,287.9846,11.15181,7176.116,55.58834,1364.025,16.81256,3233.772,28.55981,11.02,10.838,6.748
2650401704670947328,2354,53799,121,STARBURST,0.004745304,1052.956,18.40654,12125.8,101.6111,2926.318,31.44029,4845.217,38.11273,10.636,10.491,6.429
1792534681560836096,1592,52990,371,BROADLINE,0.02388919,35.53726,3.753952,71.53404,4.32571,25.52647,3.081008,81.15689,4.957376,11.958,12.02,10.602
2161793022801504256,1920,53314,237,AGN BROADLINE,0.02866235,291.9623,8.385423,690.3578,13.31316,163.2982,7.408543,854.5138,12.90852,11.597,11.599,10.261
2115598985434523648,1879,54478,120,STARBURST,-3.109217E-05,3969.851,40.3701,20359.51,153.782,5687.946,46.90277,4030.301,35.33723,9.699,9.312,5.016
1371479997524502528,1218,52709,487,BROADLINE,0.007489528,141.2283,14.17762,276.3123,16.65642,88.41828,10.24325,321.8531,19.53946,10.633,10.678,9.623
3243737773231859712,2881,54502,73,,0.0107112,81.87686,10.11735,146.8615,12.85174,50.96485,8.168945,177.0596,14.45893,10.795,10.878,9.793
2519825084957353984,2238,54205,222,STARBURST,0.003629681,12019.25,71.55727,10814.36,64.54848,3700.566,28.84831,682.8312,9.973587,11.013,10.832,7.236
2017753717066983424,1792,54270,513,,0.009282656,217.096,19.76983,459.7046,28.93589,175.6439,18.15182,239.7997,26.18293,10.107,10.17,9.609
961528730738518016,854,52373,37,BROADLINE,0.02344551,104.0478,8.674654,184.8659,12.70862,94.25947,9.097725,258.0076,12.65036,10.677,10.778,9.764
600252293236942848,533,51994,537,AGN BROADLINE,0.02527736,370.8294,15.85544,805.1729,26.42174,185.4991,13.90043,1017.009,25.84062,10.623,10.584,8.646
3246144879448844288,2883,54525,638,BROADLINE,0.01126503,115.3325,12.20494,316.2162,21.42752,103.4394,12.05321,320.0678,20.57097,9.865,9.871,8.502
2444442556885395456,2171,53557,414,STARFORMING,0.01458635,517.3818,14.51531,2763.628,31.42861,656.2391,13.61572,1363.364,22.34484,10.596,10.578,8.034
654214405856192512,581,52356,242,STARFORMING,0.02523617,463.7224,7.257617,1212.021,10.66158,359.2458,6.364434,434.6016,6.298012,14.397,14.213,11.355
1794693572675528704,1594,52992,33,STARBURST,0.04144763,173.5253,7.95469,4204.322,28.02799,1019.062,11.76453,3133.535,19.68938,11.94,11.605,7.006
3185236334960732160,2829,54623,238,STARFORMING,0.03264063,36.31393,2.603936,926.6036,7.353087,185.3663,3.078673,321.5735,4.389384,11.582,11.444,7.385
1490767119892113408,1324,53088,275,BROADLINE,0.006284812,114.5978,7.601598,92.60556,6.775702,23.47178,4.66946,48.79398,8.095377,11.263,11.374,10.735
2519789075951544320,2238,54205,91,STARBURST,0.002742874,7762.544,40.58192,9702.91,67.2619,2775.854,18.3123,1268.215,8.388079,12.308,11.688,7.283
1479510319209408512,1314,53050,283,BROADLINE,0.04139066,71.68056,4.613948,116.4147,5.45572,22.47028,3.952294,153.5428,5.507944,11.699,11.701,9.386
640704979820111872,569,52264,247,STARFORMING,0.05097429,47.88549,3.632066,1360.418,8.805631,382.542,5.033506,860.1495,6.136675,12.691,12.462,8.452
2561518282683213824,2275,53709,349,STARBURST,0.03626165,1868.851,14.24721,13482.17,588.0063,1289.027,10.29816,1157.015,8.120209,12.683,12.372,7.967
2075065203292137472,1843,53816,115,STARFORMING,0.03198267,472.7678,7.946283,2406.694,18.37124,668.8507,8.2176,1033.228,9.958794,12.507,12.403,9.064
866958359717242880,770,52282,56,STARBURST,0.009996938,4134.91,41.04472,16079.74,143.6027,4891.938,41.92889,5345.062,38.2583,11.352,11.206,7.066
712808475364714496,633,52079,414,BROADLINE,0.02888027,174.6303,9.015629,235.739,12.83358,61.42393,8.090686,321.2444,12.20937,11.072,11.1,9.792
2478134347761215488,2201,53904,104,BROADLINE,0.0297227,116.2104,8.639659,227.8456,14.13984,62.44405,8.330051,271.7705,13.09125,10.857,10.884,9.07
2991582648465385472,2657,54502,242,BROADLINE,0.02233305,54.47893,7.91915,197.618,13.22892,73.26811,8.209137,189.5051,12.86695,11.065,11.182,9.671
2222682054548547584,1974,53430,566,STARFORMING,0.03270868,115.8487,5.497598,3346.129,27.29002,707.408,8.032629,1500.314,12.72727,11.26,11.051,7.022
2638142148947503104,2343,53735,577,STARBURST,0.0212148,2919.678,27.90924,24495.59,142.3635,4889.11,35.96328,11348.98,61.15344,10.615,10.305,5.797
637379506465695744,566,52238,437,BROADLINE,0.01239375,61.03,5.052911,88.22795,6.07923,38.45169,4.324553,84.88641,6.283986,11.317,11.469,10.896
470761706352568320,418,51817,493,STARFORMING,0.01783417,225.0186,9.589763,3285.096,32.03737,894.1333,13.59681,1497.636,17.49272,11.234,11.152,7.474
936881527311067136,832,52312,483,STARFORMING BROADLINE,0.008736057,95.53978,5.999784,701.7808,13.75308,182.9406,5.835137,310.6591,9.172251,10.876,10.89,7.5
1794840082599929856,1594,52992,566,AGN,0.02233646,583.4297,10.59895,1279.977,16.90188,338.0573,9.075186,1083.899,14.7817,11.086,11.113,9.666
2808024949141301248,2494,54174,111,STARFORMING,0.005007528,1056.125,20.98259,2757.45,36.38517,547.9821,14.16848,1791.251,29.00412,9.618,9.426,5.343
2821665215601469440,2506,54179,582,AGN BROADLINE,0.01688305,294.2163,12.22756,506.8439,19.27263,123.3301,10.56438,909.3129,20.26717,10.656,10.62,8.863
1631521926025340928,1449,53116,338,STARFORMING,0.01143953,59.03924,6.789708,648.8548,12.00667,149.9664,6.254695,354.0648,10.72542,10.249,10.128,6.214
1217109386632128512,1081,52531,42,,0.01857966,123.3203,12.79883,185.8449,16.59362,63.71803,10.14959,249.4008,19.00932,10.256,10.293,8.697
2016528586168625152,1791,54266,152,STARBURST,0.009522244,217.0428,7.092489,6869.823,47.78219,1590.361,14.42586,2560.177,18.32105,10.971,10.85,7.114
2366724136593549312,2102,54115,300,BROADLINE,0.01749348,394.5013,19.28705,455.2635,29.61467,177.2161,17.47705,753.4088,30.58986,10.226,10.258,9.142
2837371745999022080,2520,54584,378,AGN,0.03423649,162.7762,3.310022,161.4671,3.35391,31.01513,2.312289,161.9441,3.279806,11.964,11.841,9.208
3091744304935233536,2746,54232,84,BROADLINE,0.007644095,130.9417,9.821697,174.9685,12.01507,60.57459,7.559832,265.3135,14.26484,10.813,10.908,9.684
443617239774554112,394,51913,46,AGN,0.04660049,1123.271,5.990735,574.8623,4.89552,162.1948,3.238928,818.2813,4.843376,12.201,12.131,9.638
1503219359525398528,1335,52824,520,STARBURST,0.006642068,14803.74,106.6192,14603.09,121.5255,4171.77,37.79506,1302.108,15.05125,11.708,11.325,7.259
3133522728032692224,2783,54524,521,STARFORMING,0.05647463,263.3925,7.327333,1702.467,16.20428,361.6868,6.56639,1078.086,11.84805,11.773,11.455,8.124
