          specobjid         ra        dec
2791279387050272768 162.923960  18.480829
2793373680346884096 162.966400  22.238947
2793396770091067392 163.149010  22.934156
2793418210567809024 162.300580  22.015976
2793455044207339520 162.026760  23.954038
 308558728976689152 159.799140  -0.409491
 310798708973266944 163.028270  -0.560812
 551792141785917440 163.690990  67.238803
 551806160559171584 164.792390  67.037808
 551828975425447936 165.861670  66.669720
 551833648349865984 165.939950  66.453143
 551840795175446528 166.683100  66.852697
 552933160195745792 170.051550  67.241586
 552954050916673536 171.113310  66.980725
 552979339684112384 172.913930  67.241740
 554067031779993600 176.162690  67.955888
 555123662487840768 181.948430  67.383789
 556216851219113984 188.006390  66.332603
 821991635763095552 320.453510  10.656079
1047220273071286272 122.822930  29.508921
1049354150296446976 127.374990  31.675464
1171071738469967872 198.652490  54.798239
1572891842914052096 223.695750  40.784841
1572923178995443712 222.912040  40.599183
1809324500555163648 175.244820  11.471141
2356623193164244992 197.989480  34.365259
2571600804293142528 135.998820  21.906569
2572721756263442432 136.501230  18.764570
2575004067608684544 137.048080  21.999439
 450519972213450752  24.000636   0.663535
 453810811371022336  28.671009  -0.143325
 689115099297769472 227.444750  57.000146
 946910998558697472 180.595670   4.329816
 950381881940011008 184.533720   6.139539
1875846326881642496  48.705318  41.993608
1875850175172339712  49.430050  42.385102
1875900202951403520  50.332962  41.931861
2075065203292137472 223.515580  30.846249
2559271980427667456 125.875220  18.749433
2561518282683213824 126.877700  19.366657
2561591400206460928 129.540130  19.725673
2820512097362798592 175.058090  24.697065
2820527215647680512 175.043390  25.309597
2821616837089847296 174.817480  20.427644
2821617936601475072 174.908110  20.454691
2821646523903797248 175.998230  19.778955
2821665215601469440 176.266180  19.973681
2823821077925357568 174.984630  16.955010
3087346808196720640 206.938590  16.973132
3087382267446716416 208.053830  16.519877
3088402889551407104 208.629890  15.044141
3089470240682174464 211.819990  15.166572
 438062230173411328   3.025396  -0.415210
 988585787417192448 169.388720  51.271592
 989688322903271424 172.156120  50.827424
1468201016527710208 144.643560   8.887900
1468209812620732416 144.580410   9.445990
1468284854289328128 143.511590  10.108707
1468308218911418368 144.532890   9.523921
1470426702990567424 148.706520   9.271095
1883801301410670592 218.673950  47.937794
2364476178326120448 169.976090  33.090107
2365524839973808128 205.804800  36.749312
2365529238020319232 205.534930  35.654302
2366709842942388224 201.538100  35.934427
2366723311959828480 201.084040  36.596087
2366724136593549312 201.214360  36.378540
2845279708252235776 242.733990  13.751860
2845305271897581568 243.513710  14.282110
2847573839532025856 245.509080   9.888631
 519204266087311360  53.573957  -6.264998
 519211687790798848  54.389098  -6.520457
 520307900866914304  55.667104  -6.381836
 523602037720508416  61.561342  -5.651901
 523604786499577856  61.632965  -6.668121
 526925036771108864 134.078020  -0.441500
 527016845992028160 132.167560   1.038793
 527064949625743360 133.289810   2.246421
 773660953769175040   5.114624   0.833556
1006687326618806272 126.946200  39.547080
1007692554554075136 128.949050  39.902148
1007788212065691648 128.085160  41.358910
1007794534257551360 128.848830  42.152677
1007796733280806912 128.378200  41.525447
1011151068798674944 135.150320  46.686491
1256634087599269888 311.793790   0.363280
1473923695796840448 171.882740  56.877023
1473938539203815424 172.514900  57.308173
1478411078097463296 178.640330  58.367037
1479447647046625280 182.438630  56.523598
1479510319209408512 180.329480  56.570196
1959223394117380096 141.447210  11.424577
2193289359254382592 149.386910  33.619730
2194381449933645824 151.021880  31.185459
2836179600281724928 237.445590  12.399336
2837301102376937472 237.985970  10.674738
