        ra        dec
193.503960  66.044570
195.720890  66.054244
162.863050  65.182136
163.414230  65.319247
164.223830  65.269306
165.625770  65.490327
165.676730  65.459976
166.546800  65.657046
167.352450  65.793860
167.887210  65.899624
167.942200  65.841527
168.388450  65.842351
169.211420  65.929503
169.623240  66.092340
169.917800  66.075631
169.961090  66.070928
169.997560  66.043686
170.470450  66.029183
170.854080  66.161474
171.638120  66.164816
172.921440  66.375576
173.203210  66.295266
173.316540  66.299068
173.872120  66.286776
174.831160  66.388632
175.346870  66.466171
175.415560  66.513124
175.734170  66.423149
177.377700  66.682887
177.485820  66.517993
177.761310  66.646495
179.115670  66.674234
181.216860  66.818279
182.682770  66.745299
186.015400  66.701175
188.238530  66.747695
188.914110  66.766091
189.486130  66.714991
189.496800  66.779444
190.878550  66.647301
191.941910  66.632273
194.836510  66.353309
195.465940  66.338629
196.449700  66.314688
161.274770  65.324156
162.018270  65.401299
162.504830  65.508638
162.504830  65.508638
163.128090  65.520834
164.143910  65.741122
164.245700  65.875837
164.900670  65.787905
165.645110  66.006049
165.895170  66.096012
166.138990  66.107979
166.966010  66.085311
167.552590  66.276532
169.143850  66.407132
169.035930  66.344737
169.304480  66.311595
169.435130  66.338054
170.122550  66.408788
170.157120  66.428647
170.268090  66.514013
170.682200  66.516290
172.139890  66.637955
172.391140  66.619203
172.529060  66.738389
173.022910  66.705511
173.819650  66.815813
173.939000  66.753325
173.992080  66.870093
174.123950  66.753718
174.135330  66.800517
176.687730  67.033242
181.252310  67.157158
184.755750  67.145084
186.310450  67.128374
187.231110  67.197432
188.025900  67.121902
188.186320  67.140915
188.473000  67.109820
188.658180  67.204838
188.749820  67.151005
188.885800  67.197141
189.261890  67.174135
189.368670  67.231145
189.491710  67.028129
189.520060  67.055769
189.670940  67.087123
190.084730  67.043774
190.676050  67.046948
190.830870  67.034794
190.964480  67.053336
192.010700  66.934214
193.798970  66.900971
195.109180  66.767835
195.770810  66.715331
196.686130  66.797677
159.020570  65.289618
159.326930  65.406708
159.622290  65.590589
159.765540  65.551367
159.782650  65.537592
159.941840  65.517530
161.940670  65.826908
161.940670  65.826908
162.203640  65.923366
162.752700  65.994601
162.939580  66.105915
163.964860  66.138321
164.066590  66.188203
165.031350  66.409265
165.361210  66.382214
165.464870  66.323296
165.939950  66.453143
165.871080  66.455531
166.232290  66.560612
166.384920  66.421240
166.778800  66.584579
166.973300  66.604711
167.064730  66.553842
167.053810  66.549120
169.024290  66.708703
169.129130  66.897017
169.363710  66.747784
170.207820  66.945828
170.270020  66.989936
170.761100  66.981635
170.937660  67.076764
171.005130  67.014442
171.113310  66.980725
172.093440  67.100157
171.931440  67.102085
172.228380  67.002093
172.471510  67.193866
172.790370  67.236161
172.707150  67.199878
173.040290  67.101163
173.205300  67.273307
173.286530  67.278425
173.405730  67.162719
173.867570  67.229620
